"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"Synergy"	"Ledge"
"BHLHE41"	"BHLHE41"	154	2.09	0.0365	0.193	NA	"IGF2BP2, EPS8, ECE1, HAP1, + 102 genes"
"ZNF710"	"ZNF710"	86	2.08	0.038	0.199	NA	"NMNAT3, MAPK8IP1, DUSP4, ID4, + 61 genes"
"FOXP4"	"FOXP4"	93	2.07	0.0389	0.202	NA	"AGRN, CHD4, SEMA3F, APLP2, + 55 genes"
"TEAD3"	"TEAD3"	84	2.04	0.0409	0.21	NA	"ICAM5, ERBB3, LINC01550, MYEF2, + 50 genes"
"CBFB"	"CBFB"	103	1.97	0.0491	0.233	NA	"NMNAT3, KLHL2, COL23A1, SLC20A2, + 79 genes"
"PSPC1"	"PSPC1"	56	1.97	0.0493	0.233	NA	"ST3GAL5, MPZL2, MEAF6, IBA57, + 32 genes"
"NR2F6"	"NR2F6"	46	1.96	0.0504	0.233	NA	"KIAA1211L, METTL4, MAGEF1, IER5L, + 28 genes"
"DNMT1"	"DNMT1"	204	1.9	0.0569	0.253	NA	"EPS8, GALE, XPR1, RCC2, + 159 genes"
"ZBTB42"	"ZBTB42"	170	1.9	0.0578	0.256	NA	"CEP170B, RXRG, FAM110C, ABCC4, + 110 genes"
"MNT"	"MNT"	117	1.89	0.0589	0.258	NA	"ECE1, AGRN, UCHL5, CHD4, + 89 genes"
"CREB5"	"CREB5"	73	1.88	0.0601	0.258	NA	"PLCD3, ZNF480, PTPRE, TNFRSF1A, + 50 genes"
"ZSCAN16"	"ZSCAN16"	85	1.85	0.0641	0.273	NA	"GALE, MMS19, DHRS3, WASF3, + 57 genes"
"MYRF"	"MYRF"	40	1.81	0.0699	0.293	NA	"HSDL1, PTCHD4, VDAC3, RASD2, + 25 genes"
"IRF3"	"IRF3"	237	1.79	0.0733	0.303	NA	"SLC38A1, FHOD1, SYTL1, CSNK1E, + 191 genes"
"MAX"	"MAX"	101	1.76	0.0784	0.319	NA	"ENTPD1, SH3RF1, DIRAS3, MPV17, + 61 genes"
"THAP8"	"THAP8"	75	1.76	0.0791	0.32	NA	"ATP6AP1, KNOP1, E2F1, RBMXL1, + 47 genes"
"ZFP69B"	"ZFP69B"	144	1.72	0.0847	0.335	NA	"EPS8, GALE, FAHD2A, PBX4, + 101 genes"
"NFKB2"	"NFKB2"	291	1.71	0.0878	0.341	NA	"TGFB1, EPS8, ABCC3, APLP2, + 216 genes"
"GRHL1"	"GRHL1"	38	1.7	0.089	0.343	NA	"SYP, NRCAM, ERBB3, ALDH2, + 22 genes"
"DLX5"	"DLX5"	49	1.69	0.0912	0.348	NA	"EDIL3, PXK, LDLRAD3, NOLC1, + 35 genes"
"ZNF48"	"ZNF48"	58	1.66	0.0977	0.365	NA	"CNP, ARAP2, KIAA2013, LRRFIP1, + 43 genes"
"HSF1"	"HSF1"	65	1.65	0.0993	0.367	NA	"PPP1R13L, C1orf74, USP16, DHX30, + 43 genes"
"NKX2-8"	"NKX2-8"	32	1.62	0.105	0.377	NA	"DIO2, MID1IP1, VASN, MAP1S, + 22 genes"
"ZHX2"	"ZHX2"	92	1.6	0.11	0.385	NA	"RNF24, IL13RA1, NDRG2, SLC17A5, + 63 genes"
"GLIS2"	"GLIS2"	25	1.59	0.112	0.385	NA	"SEMA4C, UNC5B, GATAD2A, CDC42EP1, + 12 genes"
"ZFP36L1"	"ZFP36L1"	71	1.58	0.113	0.388	NA	"IGF2BP2, SEMA4C, AGRN, TENM1, + 53 genes"
"ZNF114"	"ZNF114"	35	1.54	0.123	0.417	NA	"C11orf80, TCF7L1, ITPR1, FAM57A, + 14 genes"
"DPF2"	"DPF2"	59	1.54	0.124	0.417	NA	"TMEM267, SLC38A1, NUDT17, MTFR1, + 33 genes"
"TCF3"	"TCF3"	112	1.52	0.13	0.434	NA	"RMDN1, LRRC2, LYRM7, MXRA8, + 79 genes"
"USF1"	"USF1"	131	1.51	0.131	0.436	NA	"TDRKH-AS1, CPEB4, OTUD6B-AS1, MAGI1, + 94 genes"
"BATF3"	"BATF3"	146	1.51	0.131	0.436	NA	"PRKN, CXCL16, CPEB3, PDE5A, + 112 genes"
"CARHSP1"	"CARHSP1"	45	1.51	0.132	0.436	NA	"PFKFB2, ACADSB, MCFD2, ZMYND11, + 37 genes"
"ZNF217"	"ZNF217"	200	1.49	0.136	0.44	NA	"IL13RA1, NDRG2, COL23A1, TMEM164, + 139 genes"
"ZNF90"	"ZNF90"	64	1.47	0.142	0.446	NA	"TENM1, SLC38A1, PLAG1, CDH13, + 28 genes"
"SP100"	"SP100"	38	1.46	0.143	0.446	NA	"ERBB3, FCGBP, SPATS2L, SLC34A2, + 23 genes"
"ZBTB7B"	"ZBTB7B"	54	1.46	0.143	0.446	NA	"PBX4, LINC00092, EDARADD, ZNF710, + 36 genes"
"ZNF341"	"ZNF341"	124	1.46	0.145	0.45	NA	"TMEM44, LBX2, WWP1, NEK1, + 87 genes"
"ZNF579"	"ZNF579"	52	1.45	0.147	0.451	NA	"SHROOM1, MID1IP1, ISYNA1, FAM110A, + 40 genes"
"IKZF2"	"IKZF2"	105	1.44	0.15	0.454	NA	"TENM1, APLP2, SIPA1L2, TNIK, + 85 genes"
"ELK3"	"ELK3"	149	1.44	0.151	0.455	NA	"FTCDNL1, TRMT9B, ZNF346, PAPSS1, + 110 genes"
"WDHD1"	"WDHD1"	98	1.43	0.152	0.458	NA	"ADD3-AS1, ATAD2, ZNF438, TMEM117, + 65 genes"
"RCOR2"	"RCOR2"	135	1.42	0.154	0.461	NA	"DLG4, TC2N, TESC, KIAA2013, + 68 genes"
"TGIF1"	"TGIF1"	35	1.42	0.156	0.462	NA	"FSTL3, FANK1, MAN1C1, PPHLN1, + 24 genes"
"ATF5"	"ATF5"	41	1.41	0.159	0.467	NA	"FOXK2, NFATC4, TCEA1, SHMT2, + 23 genes"
"DLX3"	"DLX3"	103	1.4	0.162	0.474	NA	"ETV4, TEAD3, ANKS6, NOL4L, + 56 genes"
"RFX8"	"RFX8"	65	1.4	0.163	0.474	NA	"CDH13, JAG2, GPR4, VWA1, + 32 genes"
"RELB"	"RELB"	66	1.39	0.164	0.474	NA	"ICAM1, PRUNE1, MLLT3, RUNX1, + 48 genes"
"EZH1"	"EZH1"	136	1.39	0.165	0.474	NA	"IGF2BP2, DLG4, HK1, CHPT1, + 75 genes"
"VDR"	"VDR"	98	1.39	0.165	0.474	NA	"TGFB1, PRKN, KIF12, DCTD, + 69 genes"
"ID2"	"ID2"	61	1.37	0.169	0.48	NA	"ST3GAL5, OLMALINC, TANK, TESC, + 19 genes"
"AHR"	"AHR"	123	1.37	0.171	0.482	NA	"IL13RA1, MPZL2, CLDN1, ZMAT3, + 82 genes"
"FOXS1"	"FOXS1"	44	1.36	0.173	0.482	NA	"PLXND1, C5AR2, PDGFA, PLEKHH3, + 33 genes"
"MECOM"	"MECOM"	40	1.36	0.173	0.482	NA	"HSDL1, RASAL2, CDH13, PLEKHG1, + 24 genes"
"ZNF622"	"ZNF622"	107	1.36	0.175	0.482	NA	"GLMP, ARL6, SRP68, SLC10A7, + 67 genes"
"ATF6B"	"ATF6B"	42	1.35	0.176	0.483	NA	"UCHL5, PAM, CALCOCO1, ZNF85, + 28 genes"
"KLF8"	"KLF8"	74	1.35	0.177	0.486	NA	"COL8A1, PTPRE, SIPA1L2, PLAG1, + 52 genes"
"IKZF3"	"IKZF3"	71	1.34	0.18	0.492	NA	"L3MBTL4, LASP1, LPAR5, MFGE8, + 36 genes"
"PAX9"	"PAX9"	133	1.33	0.183	0.495	NA	"SREBF1, ST3GAL5, HIP1, TGFA, + 92 genes"
"ZBTB7C"	"ZBTB7C"	114	1.32	0.188	0.508	NA	"GPM6B, PROS1, TBC1D2, TTL, + 59 genes"
"NKX2-1"	"NKX2-1"	70	1.3	0.193	0.516	NA	"COL13A1, ABCC4, ALDH1B1, CACNB1, + 50 genes"
"CAMTA2"	"CAMTA2"	131	1.3	0.195	0.519	NA	"DLG4, LRRC75A, GRIPAP1, PPP1R9B, + 66 genes"
"NOC4L"	"NOC4L"	87	1.29	0.196	0.519	NA	"STRN4, MAP3K11, TSC22D4, BCKDK, + 65 genes"
"ZNF784"	"ZNF784"	65	1.29	0.196	0.519	NA	"GRIPAP1, DHX29, FPGS, RNF220, + 54 genes"
"TP63"	"TP63"	44	1.29	0.197	0.52	NA	"TMEM173, COL8A2, CSGALNACT2, EPHA4, + 30 genes"
"ZNF524"	"ZNF524"	248	1.26	0.208	0.536	NA	"STRN4, SAMD1, INPP5K, PAPOLA, + 196 genes"
"HINFP"	"HINFP"	40	1.25	0.212	0.541	NA	"RGL2, SLC37A4, PIGK, NOCT, + 18 genes"
"NPAS2"	"NPAS2"	28	1.24	0.217	0.546	NA	"MTSS1L, DAPK2, SLC34A2, MLYCD, + 5 genes"
"DBP"	"DBP"	55	1.23	0.219	0.546	NA	"TLE4, LZTS2, RHBDD2, NINJ1, + 23 genes"
"ZNF205"	"ZNF205"	49	1.23	0.22	0.547	NA	"MIER2, CORO1B, CTBP1, SPTY2D1, + 35 genes"
"ETV6"	"ETV6"	51	1.22	0.222	0.549	NA	"LIMK1, LRRC2, OTUD6B-AS1, BORCS7, + 33 genes"
"FOSL1"	"FOSL1"	37	1.21	0.227	0.556	NA	"DCUN1D3, TIFA, KRT80, PLAUR, + 24 genes"
"ZNF300"	"ZNF300"	105	1.21	0.228	0.557	NA	"PRPS1, NUDT17, PLAG1, RARG, + 73 genes"
"ZNF7"	"ZNF7"	64	1.2	0.231	0.56	NA	"TDRD10, SLC9A5, SLC1A1, GTF2H4, + 46 genes"
"ZNF367"	"ZNF367"	40	1.2	0.232	0.56	NA	"PAQR4, ATAD2, E2F1, MCM4, + 16 genes"
"TEAD2"	"TEAD2"	108	1.19	0.235	0.563	NA	"PLXND1, CDH24, VEPH1, CSNK1E, + 62 genes"
"TFAP4"	"TFAP4"	49	1.18	0.237	0.564	NA	"AP1S3, TRIM65, ZNF581, ZNF213, + 20 genes"
"ZNF215"	"ZNF215"	53	1.18	0.238	0.564	NA	"HAP1, MAPK8IP1, ATAD2, ACOT11, + 33 genes"
"ZNF117"	"ZNF117"	118	1.15	0.251	0.587	NA	"IGF2BP2, NOL4L, ADH5, MYEF2, + 79 genes"
"ZBTB33"	"ZBTB33"	132	1.14	0.255	0.592	NA	"EPS8, PBX4, NRCAM, PSD3, + 98 genes"
"ZGLP1"	"ZGLP1"	235	1.14	0.255	0.592	NA	"LBX2, LRP5L, CPSF1, PKN3, + 167 genes"
"IRX3"	"IRX3"	66	1.14	0.256	0.593	NA	"ACADM, ADAMTS7, FAM20A, PAIP2B, + 38 genes"
"NPAS3"	"NPAS3"	48	1.13	0.259	0.596	NA	"OGDHL, ANKS6, RUNX2, DCUN1D3, + 33 genes"
"ZSCAN2"	"ZSCAN2"	96	1.13	0.26	0.596	NA	"CD276, CPEB4, MPC1, PAQR7, + 60 genes"
"ZBTB45"	"ZBTB45"	29	1.12	0.261	0.596	NA	"ATG2A, PRPF19, ZNF865, ZNF579, + 19 genes"
"ZBTB46"	"ZBTB46"	118	1.12	0.261	0.596	NA	"PLXND1, SEMA3F, DOCK6, INSR, + 48 genes"
"STAT2"	"STAT2"	113	1.11	0.266	0.603	NA	"ARHGEF2, LOH12CR2, CYP2S1, ARMCX1, + 64 genes"
"IKZF4"	"IKZF4"	59	1.09	0.274	0.616	NA	"NDRG2, PI4K2B, NOL4L, STAT6, + 44 genes"
"ZNF100"	"ZNF100"	40	1.09	0.274	0.616	NA	"RPRD1A, TMEM117, PRICKLE1, RAD18, + 18 genes"
"STAT1"	"STAT1"	91	1.09	0.275	0.616	NA	"ATP6V1B2, PAPSS1, KCNQ3, ABTB2, + 57 genes"
"SOX18"	"SOX18"	50	1.09	0.277	0.616	NA	"JAG2, VWA1, FJX1, PKN3, + 21 genes"
"ESR1"	"ESR1"	96	1.08	0.281	0.618	NA	"OLMALINC, DOCK9-DT, VEPH1, GABRB2, + 50 genes"
"CSRNP2"	"CSRNP2"	101	1.07	0.285	0.62	NA	"KIZ, HIP1, ELK1, RASAL2, + 76 genes"
"ZNF513"	"ZNF513"	113	1.07	0.286	0.62	NA	"TEAD3, GTPBP2, BLOC1S5, ABRAXAS2, + 77 genes"
"CREB3"	"CREB3"	156	1.06	0.287	0.62	NA	"TFE3, PHF23, FPGS, SLC35C2, + 117 genes"
"HMG20B"	"HMG20B"	166	1.06	0.291	0.62	NA	"SLC35C2, GNE, APPL1, TXNDC16, + 125 genes"
"ARNTL2"	"ARNTL2"	318	1.06	0.291	0.62	NA	"C16orf46, MAGEH1, CXCL16, CRY2, + 205 genes"
"ZNF430"	"ZNF430"	282	1.05	0.292	0.62	NA	"BMP1, EPS8, SLC35F2, DGLUCY, + 142 genes"
"ZNF628"	"ZNF628"	42	1.05	0.293	0.62	NA	"FBXL19, MAP1S, SUPT5H, MARK4, + 24 genes"
"TCF7"	"TCF7"	63	1.05	0.295	0.62	NA	"SLC22A4, PAPLN, PLEKHA4, PHKB, + 31 genes"
"TFAP2E"	"TFAP2E"	56	1.04	0.297	0.624	NA	"TMEM44, ARHGEF28, ENPP1, PIP5KL1, + 27 genes"
"ZNF707"	"ZNF707"	25	1.01	0.31	0.644	NA	"GRIPAP1, SHROOM1, SMAD2, COPS7B, + 14 genes"
"ZNF431"	"ZNF431"	188	1.01	0.311	0.644	NA	"SLC35F2, DTX4, LAD1, QDPR, + 65 genes"
"HLX"	"HLX"	34	1.01	0.312	0.644	NA	"CPNE2, PLCB3, ABLIM1, GPR162, + 17 genes"
"ZFAT"	"ZFAT"	56	1	0.315	0.648	NA	"LASP1, C1orf216, LRRFIP2, PTK2B, + 40 genes"
"HIF1A"	"HIF1A"	132	0.99	0.32	0.651	NA	"KLHL2, PBX4, COL8A1, GNG7, + 75 genes"
"ZNF121"	"ZNF121"	66	0.99	0.32	0.651	NA	"SYPL1, SAMD1, ASAH1, ELAVL1, + 40 genes"
"GATA3"	"GATA3"	45	0.99	0.321	0.651	NA	"C11orf80, ARNTL, FSTL3, SUSD4, + 12 genes"
"TET3"	"TET3"	261	0.99	0.322	0.652	NA	"FTCDNL1, TGFB1, TMEM267, CDH3, + 185 genes"
"TP73"	"TP73"	31	0.99	0.324	0.654	NA	"DONSON, CENPU, CSPG5, HELLS, + 18 genes"
"ARID3A"	"ARID3A"	101	0.98	0.328	0.657	NA	"DUBR, DSTN, FOPNL, COQ7, + 62 genes"
"MYPOP"	"MYPOP"	40	0.97	0.33	0.657	NA	"NUP54, TOR1AIP1, PIK3C3, ATP13A3, + 17 genes"
"ZFHX2"	"ZFHX2"	90	0.96	0.338	0.664	NA	"NOL4L, EPB41L4B, SYPL1, ACADM, + 51 genes"
"IRF9"	"IRF9"	84	0.96	0.339	0.664	NA	"LPAR6, VTI1B, LYRM2, CDC25B, + 47 genes"
"SCX"	"SCX"	31	0.96	0.339	0.664	NA	"KIAA1211L, CRACR2B, CNTD2, LMNB2, + 15 genes"
"ZNF746"	"ZNF746"	67	0.95	0.342	0.664	NA	"AGRN, CHPF2, ZDHHC6, PTPRU, + 42 genes"
"ELF4"	"ELF4"	173	0.95	0.342	0.664	NA	"ICAM1, DDX31, MAGI2, GCSH, + 119 genes"
"EZH2"	"EZH2"	104	0.95	0.343	0.664	NA	"CYBRD1, PRKN, RABL3, SLC25A23, + 71 genes"
"DRAP1"	"DRAP1"	104	0.95	0.343	0.664	NA	"TSTA3, APPL1, TAF4B, SHPRH, + 80 genes"
"NR2F1"	"NR2F1"	50	0.94	0.346	0.664	NA	"DENND6A, TMEM173, CMTM3, PLEKHG4, + 21 genes"
"STAT5A"	"STAT5A"	66	0.94	0.346	0.664	NA	"POU2F3, ID4, STOX2, PGGT1B, + 37 genes"
"BCL6B"	"BCL6B"	80	0.94	0.348	0.666	NA	"EDIL3, SPRY4, ELFN1, SPARC, + 55 genes"
"MAFF"	"MAFF"	52	0.94	0.348	0.666	NA	"TTC30B, TBC1D2, AHR, PTCD2, + 21 genes"
"ZNF277"	"ZNF277"	129	0.93	0.353	0.673	NA	"TMEM117, BFAR, EIF4A2, ENOPH1, + 67 genes"
"ZNF836"	"ZNF836"	40	0.93	0.354	0.673	NA	"ERBB3, GBA2, DEPDC1B, ELP2, + 16 genes"
"ZNF792"	"ZNF792"	46	0.92	0.357	0.674	NA	"KNOP1, CBX2, ZFYVE21, SUFU, + 32 genes"
"HEYL"	"HEYL"	74	0.92	0.36	0.675	NA	"ADRA1B, CDH13, SYK, PLEKHG1, + 44 genes"
"MEIS3"	"MEIS3"	52	0.91	0.36	0.675	NA	"MFAP2, CDR2L, CMTM3, LOXL2, + 33 genes"
"OVOL2"	"OVOL2"	31	0.91	0.362	0.675	NA	"RAB25, SH2D3A, TOR1AIP1, HMGB3, + 14 genes"
"ZNF408"	"ZNF408"	144	0.91	0.362	0.675	NA	"FPGS, TBC1D10B, GNB2, RCC1L, + 96 genes"
"WIZ"	"WIZ"	94	0.89	0.371	0.686	NA	"SCRIB, SERPINH1, HGS, KLC2, + 43 genes"
"ERF"	"ERF"	28	0.88	0.379	0.691	NA	"SEMA4C, CSNK1E, CBARP, C11orf95, + 5 genes"
"C9orf40"	"C9orf40"	46	0.87	0.382	0.693	NA	"SHMT2, SAPCD2, TBC1D7, ITSN1, + 28 genes"
"IRF7"	"IRF7"	111	0.86	0.387	0.697	NA	"ACADSB, UNC93B1, FBXL19, SPINDOC, + 53 genes"
"HEY1"	"HEY1"	46	0.86	0.388	0.697	NA	"TSPAN3, COL4A1, CSPG4, RNFT2, + 28 genes"
"E4F1"	"E4F1"	149	0.85	0.394	0.702	NA	"SGSH, ACY1, APPL1, TAF4B, + 86 genes"
"NFIB"	"NFIB"	76	0.84	0.401	0.705	NA	"TFE3, METTL7B, ITGA7, GUCY1B1, + 25 genes"
"ZNF768"	"ZNF768"	146	0.82	0.412	0.718	NA	"OLMALINC, TUBG1, FGL2, FUT1, + 94 genes"
"ZNF469"	"ZNF469"	80	0.82	0.412	0.718	NA	"ELFN1, RUNX1, SPARC, NPTX2, + 54 genes"
"ZNF394"	"ZNF394"	110	0.81	0.416	0.721	NA	"CTBP1, CERS5, RDX, HNRNPA1, + 80 genes"
"ZNF687"	"ZNF687"	129	0.8	0.422	0.729	NA	"CHD4, CUL7, C1orf226, ZNF710, + 75 genes"
"MTA1"	"MTA1"	60	0.8	0.426	0.732	NA	"TMEM19, TMCO6, FAM98A, RAPGEFL1, + 35 genes"
"ZNF282"	"ZNF282"	30	0.79	0.427	0.732	NA	"XYLT2, PLOD3, BLZF1, KRBA1, + 12 genes"
"ZNF682"	"ZNF682"	38	0.79	0.43	0.736	NA	"RTL5, IKZF2, SFTA3, TMEM108, + 21 genes"
"ZNF16"	"ZNF16"	128	0.78	0.437	0.742	NA	"RHNO1, FAF1, ANKH, BRD7, + 81 genes"
"KLF12"	"KLF12"	79	0.78	0.437	0.742	NA	"SHROOM4, RAPGEF5, PARP14, SNTA1, + 52 genes"
"ETV7"	"ETV7"	84	0.76	0.445	0.753	NA	"DDB2, PML, NRBP1, APOBEC3H, + 49 genes"
"KIAA1549"	"KIAA1549"	208	0.76	0.446	0.753	NA	"ETV5, AGRN, RCN2, HIP1, + 108 genes"
"ZNF404"	"ZNF404"	42	0.76	0.449	0.756	NA	"SGPP2, RAPGEF3, ARHGAP27P1-BPTFP1-KPNA2P3, TMEM234, + 21 genes"
"CEBPB"	"CEBPB"	35	0.75	0.452	0.759	NA	"CDC42EP5, BLOC1S4, PFDN2, PDPK1, + 21 genes"
"ZNF358"	"ZNF358"	54	0.75	0.455	0.76	NA	"ZNF579, EPB41, HCFC1R1, ZNF524, + 34 genes"
"RFX1"	"RFX1"	94	0.74	0.458	0.762	NA	"EML3, MIER2, TSC22D4, HGS, + 32 genes"
"E2F2"	"E2F2"	39	0.73	0.463	0.767	NA	"CHAF1B, E2F1, MCM4, MCM3, + 20 genes"
"NCOR2"	"NCOR2"	131	0.7	0.486	0.781	NA	"ISCA1, AP2A1, SEPT9, MID1IP1, + 72 genes"
"CAMTA1"	"CAMTA1"	78	0.69	0.489	0.781	NA	"FANK1, SUMO2, THYN1, EPB41, + 63 genes"
