"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"Synergy"	"Ledge"
"FOXO6"	"FOXO6"	49	1.83	0.0667	0.55	NA	"PRKD3, LINC00665, TMEM132A, RIMBP2, + 37 genes"
"HEY2"	"HEY2"	84	1.78	0.0745	0.567	NA	"SHLD2, SAMD1, FAM43A, FAM84A, + 54 genes"
"ELK1"	"ELK1"	76	1.76	0.0778	0.581	NA	"AGPAT4, ELMO2, LPP-AS2, ABR, + 37 genes"
"RCOR2"	"RCOR2"	135	1.75	0.0807	0.582	NA	"GJC1, HIGD1B, TC2N, MAML3, + 65 genes"
"BCL6B"	"BCL6B"	80	1.73	0.0835	0.582	NA	"SPAAR, SPRY4, ADAMTS7, CXorf36, + 58 genes"
"C9orf40"	"C9orf40"	46	1.68	0.0938	0.598	NA	"NUDT5, TBC1D7, DBI, MRPL41, + 29 genes"
"PRDM1"	"PRDM1"	62	1.66	0.0975	0.614	NA	"MAPK13, HDAC9, HSDL1, MATN2, + 41 genes"
"ZBTB42"	"ZBTB42"	170	1.63	0.104	0.614	NA	"ABCA6, NLRX1, CEP170B, METTL8, + 105 genes"
"PAX9"	"PAX9"	133	1.59	0.112	0.614	NA	"SEMA3F, CDH6, KIAA1549, KLHL32, + 64 genes"
"THAP8"	"THAP8"	75	1.59	0.113	0.614	NA	"PQLC2, RBMXL1, GPX1, ATP6AP1, + 46 genes"
"NR1H2"	"NR1H2"	89	1.58	0.113	0.614	NA	"FZD5, MBOAT7, PNKP, BCKDK, + 69 genes"
"POU5F1B"	"POU5F1B"	67	1.58	0.115	0.614	NA	"SPRY4, CXorf36, ANXA3, SKAP2, + 43 genes"
"KIAA1549"	"KIAA1549"	208	1.56	0.118	0.614	NA	"GJC1, GRB10, CSPG4, CDH13, + 86 genes"
"ZNF367"	"ZNF367"	40	1.52	0.127	0.614	NA	"CDT1, PAQR4, E2F1, ASF1B, + 17 genes"
"SOX8"	"SOX8"	27	1.51	0.132	0.614	NA	"LZTS1, ANGPTL1, HTRA1, IER5L, + 15 genes"
"ZNF213"	"ZNF213"	82	1.51	0.132	0.614	NA	"RHBDD2, UBTD1, HECTD3, LRRFIP1, + 58 genes"
"TSC22D4"	"TSC22D4"	111	1.5	0.133	0.614	NA	"MBOAT7, MAP4K5, UBTD1, PLSCR4, + 77 genes"
"RARA"	"RARA"	261	1.5	0.134	0.614	NA	"SEMA3F, TMEM63B, ETV4, LZTS1, + 178 genes"
"ID2"	"ID2"	61	1.5	0.135	0.614	NA	"CRISPLD2, OLMALINC, P4HTM, BICC1, + 25 genes"
"ZBTB7B"	"ZBTB7B"	54	1.49	0.136	0.614	NA	"PBX4, TFE3, B4GALT3, LRRC8C-DT, + 27 genes"
"MLX"	"MLX"	186	1.49	0.136	0.614	NA	"BEND6, RRP8, NMT1, IAH1, + 78 genes"
"FOXP4"	"FOXP4"	93	1.49	0.136	0.614	NA	"RHBDD2, SEMA3F, CBX2, PTN, + 44 genes"
"SOX18"	"SOX18"	50	1.46	0.143	0.614	NA	"HIGD1B, PDGFB, NPAT, RBL2, + 37 genes"
"MIER2"	"MIER2"	120	1.46	0.143	0.614	NA	"PAPSS2, PQLC2, GABRD, UBTD1, + 85 genes"
"HSF1"	"HSF1"	65	1.45	0.146	0.614	NA	"PQLC2, MAP4K5, LRRC29, CPED1, + 48 genes"
"ATF5"	"ATF5"	41	1.44	0.149	0.614	NA	"FOXK2, P2RX4, TEDC2, KLHL9, + 25 genes"
"ZNF48"	"ZNF48"	58	1.44	0.15	0.614	NA	"ARAP2, FLOT2, XYLT2, KIAA2013, + 30 genes"
"ZBTB46"	"ZBTB46"	118	1.43	0.153	0.614	NA	"GJC1, SEMA3F, TBKBP1, CBX2, + 63 genes"
"CREB3"	"CREB3"	156	1.41	0.158	0.614	NA	"RHBDD2, CEP85L, PGAP3, COA3, + 113 genes"
"ZNF233"	"ZNF233"	35	1.41	0.158	0.614	NA	"COLEC12, FRMD3, GFPT2, ANXA2, + 7 genes"
"STAT6"	"STAT6"	100	1.41	0.16	0.614	NA	"FTCDNL1, FHOD1, IQCH-AS1, SHROOM4, + 69 genes"
"YY1"	"YY1"	96	1.41	0.16	0.614	NA	"COLEC12, AHNAK, NRSN2, DHRS7B, + 45 genes"
"DDIT3"	"DDIT3"	144	1.39	0.164	0.614	NA	"TLE4, ECI1, BCAT2, HES6, + 85 genes"
"POU2F3"	"POU2F3"	155	1.39	0.164	0.614	NA	"PLCH1, TMEM63B, FAM43A, LRRFIP1, + 77 genes"
"ZNF726"	"ZNF726"	37	1.38	0.169	0.622	NA	"CENPU, DSN1, TM7SF2, PGP, + 15 genes"
"HMGXB3"	"HMGXB3"	99	1.37	0.172	0.622	NA	"CEP170B, FHOD1, PAX6, STRN4, + 57 genes"
"ETV1"	"ETV1"	72	1.37	0.172	0.622	NA	"GLT1D1, FAM177A1, KIAA2013, LINC00539, + 32 genes"
"CAMTA2"	"CAMTA2"	131	1.36	0.173	0.623	NA	"LRRC75A, MAST2, GJA1, RTL5, + 94 genes"
"MTA3"	"MTA3"	115	1.34	0.18	0.628	NA	"SPAAR, NRSN2, CFH, PKIG, + 65 genes"
"ZNF768"	"ZNF768"	146	1.33	0.185	0.634	NA	"FGL2, OLMALINC, REL, ECI1, + 96 genes"
"THAP3"	"THAP3"	228	1.32	0.186	0.636	NA	"RNF135, KIRREL1, HIVEP2, RRP8, + 167 genes"
"NFATC4"	"NFATC4"	164	1.32	0.188	0.636	NA	"FZD5, NEK1, DHX9, MAST2, + 111 genes"
"TBX2"	"TBX2"	115	1.25	0.213	0.645	NA	"GJC1, TBKBP1, CLEC14A, RFX8, + 64 genes"
"ZNF174"	"ZNF174"	65	1.24	0.213	0.645	NA	"DHRSX, RCC1L, DUSP18, HARS2, + 32 genes"
"RARG"	"RARG"	265	1.24	0.215	0.645	NA	"ETV4, CDH6, CBX2, SAMD1, + 129 genes"
"HMGA1"	"HMGA1"	161	1.24	0.215	0.645	NA	"NMT1, ZNF480, GLMP, SLC4A4, + 61 genes"
"ZNF710"	"ZNF710"	86	1.23	0.217	0.645	NA	"KIAA1549, ZDHHC6, MCTP2, MTSS1, + 43 genes"
"ZNF19"	"ZNF19"	42	1.23	0.217	0.645	NA	"FBLN2, ITFG2, EID2B, ADRB2, + 17 genes"
"TP53"	"TP53"	81	1.23	0.22	0.645	NA	"CBX2, C2orf49, FAM222B, MCM10, + 47 genes"
"RELA"	"RELA"	65	1.21	0.225	0.647	NA	"BCKDK, TRIM8, GRAMD1A, PPP4C, + 36 genes"
"BHLHE40"	"BHLHE40"	52	1.21	0.226	0.647	NA	"ABR, MSN, MYEF2, SENP8, + 27 genes"
"TP73"	"TP73"	31	1.2	0.228	0.647	NA	"MCM10, CENPU, MED24, TK1, + 19 genes"
"ZNF732"	"ZNF732"	51	1.2	0.229	0.647	NA	"MAST2, CENPU, TDRKH-AS1, EFEMP1, + 29 genes"
"MESP1"	"MESP1"	61	1.2	0.232	0.647	NA	"ATPAF2, SMARCD3, MIEN1, HDHD3, + 45 genes"
"NPAS1"	"NPAS1"	145	1.19	0.232	0.647	NA	"ETV4, NXT2, SHLD2, RARA, + 94 genes"
"LBX2"	"LBX2"	69	1.18	0.236	0.652	NA	"ADAMTS7, GABRD, PAPOLA, TSTA3, + 47 genes"
"NONO"	"NONO"	64	1.17	0.241	0.656	NA	"RNF24, MAPK13, SMARCA4, MAP3K8, + 25 genes"
"SALL1"	"SALL1"	81	1.16	0.246	0.662	NA	"GULP1, PQLC3, TMPRSS13, GLUD1, + 34 genes"
"IRF5"	"IRF5"	115	1.15	0.25	0.667	NA	"FHOD1, DENND6A, TGFB1, SLC26A7, + 52 genes"
"MTA2"	"MTA2"	220	1.15	0.252	0.667	NA	"SEMA3F, LZTS1, CBX2, PLXND1, + 129 genes"
"CERS6"	"CERS6"	35	1.14	0.255	0.667	NA	"VWF, CPD, ACACA, SLC12A2, + 14 genes"
"MAX"	"MAX"	101	1.13	0.259	0.67	NA	"SMARCD3, MPV17, ENTPD1, SHPRH, + 61 genes"
"PHB"	"PHB"	318	1.13	0.26	0.671	NA	"REL, CEP85L, MECR, BCKDK, + 188 genes"
"ZNF524"	"ZNF524"	248	1.09	0.275	0.682	NA	"NINJ1, CRYBG3, ACBD6, SAMD1, + 162 genes"
"ZNF622"	"ZNF622"	107	1.07	0.285	0.694	NA	"BORA, CEP85L, BCKDK, SCML2, + 39 genes"
"VDR"	"VDR"	98	1.06	0.288	0.694	NA	"BLNK, RALB, SDC2, SNHG14, + 38 genes"
"ZNF408"	"ZNF408"	144	1.06	0.289	0.694	NA	"RNF135, MAP4K5, RCC1L, B4GALT7, + 104 genes"
"TSC22D1"	"TSC22D1"	208	1.06	0.291	0.694	NA	"GULP1, ETV4, GUF1, FTCDNL1, + 67 genes"
"NOC4L"	"NOC4L"	87	1.05	0.293	0.694	NA	"RANBP2, BCKDK, STRN4, FAM208A, + 67 genes"
"HINFP"	"HINFP"	40	1.04	0.297	0.694	NA	"MIIP, SOCS4, TAZ, CAMSAP3, + 26 genes"
"E4F1"	"E4F1"	149	1.04	0.298	0.694	NA	"P4HTM, TOR1AIP1, SMUG1, PNKP, + 124 genes"
"HES4"	"HES4"	68	1.03	0.304	0.697	NA	"SAMD1, WDR37, PTP4A3, SBNO1, + 47 genes"
"MECOM"	"MECOM"	40	1.02	0.308	0.697	NA	"LZTS1, CLEC14A, CDH13, HSDL1, + 16 genes"
"ZNF444"	"ZNF444"	150	1.01	0.312	0.7	NA	"SMARCD3, SMUG1, PNKP, NPAT, + 122 genes"
"ZNF629"	"ZNF629"	118	1.01	0.314	0.7	NA	"FGL2, NRSN2, FAM222B, RASA2, + 61 genes"
"PLAG1"	"PLAG1"	136	1	0.316	0.701	NA	"SPATS2, RNF24, WDR72, SERINC2, + 64 genes"
"ZNF75D"	"ZNF75D"	60	1	0.319	0.705	NA	"SLC38A11, MTSS1, VSTM4, DUOX1, + 24 genes"
"ZNF576"	"ZNF576"	158	0.99	0.323	0.706	NA	"P4HTM, SMUG1, MECR, COA3, + 90 genes"
"ZNF593"	"ZNF593"	128	0.99	0.324	0.706	NA	"ZNHIT1, NDUFB11, DUS1L, NAA10, + 112 genes"
"ZNF691"	"ZNF691"	75	0.98	0.326	0.707	NA	"SHLD1, SGMS2, SMUG1, AHNAK, + 39 genes"
"WDHD1"	"WDHD1"	98	0.98	0.327	0.707	NA	"ADD3-AS1, SLBP, SUSD1, E2F1, + 39 genes"
"NKX2-1"	"NKX2-1"	70	0.96	0.337	0.713	NA	"EMC10, NAA15, ABCC6, MTSS1, + 43 genes"
"NSD2"	"NSD2"	67	0.96	0.338	0.714	NA	"ANXA3, ABCC6, PIEZO2, ATG10, + 28 genes"
"MYPOP"	"MYPOP"	40	0.95	0.342	0.717	NA	"TOR1AIP1, RANBP2, NAA10, NUP54, + 27 genes"
"MLXIPL"	"MLXIPL"	145	0.95	0.344	0.717	NA	"METTL8, GGCT, TFPI, DVL1, + 81 genes"
"SOX17"	"SOX17"	45	0.94	0.349	0.723	NA	"CLEC14A, CDA, JAG2, TMEM255B, + 23 genes"
"EZH2"	"EZH2"	104	0.93	0.353	0.724	NA	"MND1, CYBRD1, SLC25A23, ERBB4, + 62 genes"
"E2F2"	"E2F2"	39	0.93	0.354	0.724	NA	"MCM10, FEN1, E2F1, DIAPH3, + 18 genes"
"HLX"	"HLX"	34	0.92	0.358	0.724	NA	"CPNE2, NUDT21, HTRA1, PLCB3, + 19 genes"
"RUNX1"	"RUNX1"	358	0.92	0.359	0.724	NA	"CDKN2B, MMP11, MPV17, CEP170B, + 97 genes"
"TOE1"	"TOE1"	79	0.9	0.37	0.729	NA	"KIAA2013, DTNBP1, CHID1, GPKOW, + 40 genes"
"ZNF563"	"ZNF563"	122	0.9	0.37	0.729	NA	"NEU1, UBE2R2, HMGCL, CPT2, + 28 genes"
"ZNF579"	"ZNF579"	52	0.89	0.372	0.733	NA	"CEBPZ, CDC40, PUSL1, B3GALT6, + 40 genes"
"GATA2"	"GATA2"	32	0.89	0.374	0.733	NA	"CXorf36, MMRN2, ELFN1, NOVA2, + 13 genes"
"ZNF219"	"ZNF219"	36	0.89	0.374	0.733	NA	"CFH, ZNF467, INPP5J, MFSD3, + 18 genes"
"ZNF205"	"ZNF205"	49	0.87	0.382	0.736	NA	"SPTY2D1, CDIPT, CTBP1, USP12, + 40 genes"
"NFE2L3"	"NFE2L3"	159	0.87	0.386	0.736	NA	"PHLDA3, TNFRSF10B, TMEM63B, FTCDNL1, + 55 genes"
"SCX"	"SCX"	31	0.86	0.392	0.736	NA	"KIAA1211L, PWWP2B, SCAND1, SLC39A3, + 20 genes"
"HMG20B"	"HMG20B"	166	0.85	0.395	0.736	NA	"RANGRF, NBN, B4GALT7, RANBP2, + 125 genes"
"NKX2-8"	"NKX2-8"	32	0.85	0.395	0.736	NA	"DIO2, MAP1S, R3HDM4, DOHH, + 16 genes"
"ESRRA"	"ESRRA"	180	0.85	0.397	0.736	NA	"LDLRAP1, AACS, HMBS, DMAC2, + 93 genes"
"USF1"	"USF1"	131	0.85	0.398	0.736	NA	"CRYBG3, SPTY2D1, RPUSD3, CTDNEP1, + 76 genes"
"ERG"	"ERG"	66	0.84	0.4	0.736	NA	"CLEC14A, DCLK2, HTRA1, PIK3R3, + 26 genes"
"OVOL2"	"OVOL2"	31	0.84	0.401	0.736	NA	"TOR1AIP1, MEF2A, STYXL1, ZMYND19, + 15 genes"
"ZNF584"	"ZNF584"	27	0.83	0.405	0.736	NA	"MECR, PRKAG1, PIGT, CCDC18, + 16 genes"
"DRAP1"	"DRAP1"	104	0.83	0.406	0.736	NA	"ZNHIT1, SHPRH, ZNF428, EXOSC4, + 73 genes"
"ZNF787"	"ZNF787"	70	0.83	0.407	0.736	NA	"DUS1L, ZNF428, B3GALT6, EXOSC4, + 54 genes"
"BOLA1"	"BOLA1"	158	0.82	0.413	0.74	NA	"RECQL, ECI1, STOML1, PIK3CA, + 94 genes"
"ELF3"	"ELF3"	160	0.82	0.413	0.74	NA	"LAMC2, GGCT, GLMP, FLII, + 38 genes"
"ZNF784"	"ZNF784"	65	0.8	0.422	0.745	NA	"MEF2A, FPGS, GRIPAP1, RFNG, + 48 genes"
"DPF2"	"DPF2"	59	0.79	0.429	0.748	NA	"NELFA, SLC38A1, RBM10, MOB1B, + 33 genes"
"ZNF511"	"ZNF511"	173	0.78	0.433	0.751	NA	"TMEM11, NDUFA4L2, PIK3CA, G6PC3, + 110 genes"
"MNT"	"MNT"	117	0.78	0.434	0.751	NA	"ECE1, ELP4, AGRN, TFE3, + 54 genes"
"ZNF697"	"ZNF697"	48	0.78	0.436	0.751	NA	"PQLC3, PAFAH2, ZNF395, NDFIP1, + 19 genes"
"ZBTB45"	"ZBTB45"	29	0.78	0.437	0.751	NA	"PWWP2B, PRPF19, ZNF865, ZNF579, + 21 genes"
"TFEB"	"TFEB"	88	0.77	0.44	0.753	NA	"ATPAF2, STOML1, PIGQ, PIK3CA, + 41 genes"
"MXD4"	"MXD4"	74	0.76	0.444	0.753	NA	"HPCAL1, NUDT21, PLPPR2, NAA15, + 49 genes"
"ZNF771"	"ZNF771"	28	0.75	0.456	0.758	NA	"ZNF428, ZNF579, ZNF787, ACOT2, + 15 genes"
"ZNF282"	"ZNF282"	30	0.75	0.456	0.758	NA	"XYLT2, SLC25A32, BLZF1, ARMC1, + 17 genes"
"BOLA3"	"BOLA3"	179	0.74	0.458	0.758	NA	"MIEN1, PRKD3, PIK3CA, NDUFB11, + 92 genes"
"DNMT1"	"DNMT1"	204	0.74	0.459	0.758	NA	"SAMD1, PAX6, XPR1, ELP4, + 89 genes"
"HHEX"	"HHEX"	45	0.74	0.459	0.758	NA	"DGAT2, ALKBH4, TMEM37, GPR153, + 16 genes"
"ZNF32"	"ZNF32"	224	0.74	0.462	0.76	NA	"TMEM11, AHNAK, ZNHIT1, NDUFB11, + 122 genes"
"KLF16"	"KLF16"	64	0.72	0.47	0.77	NA	"RAB34, IER5L, SLC4A4, WASF3, + 36 genes"
"ZNF747"	"ZNF747"	116	0.72	0.474	0.775	NA	"SIL1, SMUG1, ZNHIT1, COA3, + 77 genes"
"ZNF385A"	"ZNF385A"	43	0.7	0.484	0.777	NA	"SGMS2, NUP54, BSG, NME1, + 18 genes"
"MYBL2"	"MYBL2"	98	0.7	0.485	0.777	NA	"CENPU, P2RX5-TAX1BP3, PAQR4, C12orf49, + 42 genes"
"ZNF628"	"ZNF628"	42	0.69	0.488	0.777	NA	"PIP5K1C, ZNF865, ZNF579, ZNF787, + 27 genes"
"E2F4"	"E2F4"	53	0.69	0.489	0.777	NA	"BBX, PSMD3, MAPK12, GNG12, + 32 genes"
"LMO2"	"LMO2"	72	0.69	0.49	0.777	NA	"CXorf36, TMEM255B, EXOC3L1, SCARB1, + 31 genes"
"FOXM1"	"FOXM1"	88	0.68	0.494	0.777	NA	"MND1, PXDN, FBXO33, LOXL2, + 56 genes"
"ZNF341"	"ZNF341"	124	0.68	0.495	0.777	NA	"NEK1, PNKP, SPTY2D1, BBS7, + 78 genes"
"GTF3A"	"GTF3A"	125	0.68	0.497	0.777	NA	"PRDM2, ASH1L, STAG1, PSMB6, + 61 genes"
"ZNF446"	"ZNF446"	91	0.68	0.498	0.777	NA	"RECQL, OS9, SDHAF1, ROCK1, + 56 genes"
"ZNF707"	"ZNF707"	25	0.67	0.505	0.782	NA	"GRIPAP1, TAOK2, PRKRIP1, CCDC137, + 12 genes"
"TBX15"	"TBX15"	27	0.67	0.506	0.782	NA	"CSPG4, COL5A3, COL4A2, COL4A1, + 12 genes"
"THRA"	"THRA"	118	0.66	0.508	0.782	NA	"IPO13, PIGQ, DCAKD, PKIG, + 64 genes"
"FOXS1"	"FOXS1"	44	0.66	0.51	0.783	NA	"PLXND1, SAMD14, C5AR2, OXSR1, + 22 genes"
"ZNF837"	"ZNF837"	42	0.65	0.513	0.785	NA	"ZNF444, ZNF865, ZNF579, ZNF787, + 29 genes"
"CARHSP1"	"CARHSP1"	45	0.65	0.515	0.785	NA	"RALGAPA1, DDX46, TRIP11, MED23, + 29 genes"
"THAP7"	"THAP7"	115	0.65	0.517	0.785	NA	"RECQL, MTFP1, ZNHIT1, B4GALT7, + 76 genes"
"MAZ"	"MAZ"	90	0.64	0.522	0.785	NA	"AACS, DHRS13, DNPH1, MDH2, + 51 genes"
"DLX5"	"DLX5"	49	0.64	0.523	0.785	NA	"EDIL3, CDA, MYOM3, NOLC1, + 19 genes"
"HSF4"	"HSF4"	62	0.64	0.523	0.785	NA	"SRP54-AS1, NOL3, CCDC159, GPR160, + 31 genes"
"DEAF1"	"DEAF1"	106	0.64	0.523	0.785	NA	"PEMT, REL, NCK2, MOB2, + 55 genes"
"SIX5"	"SIX5"	42	0.63	0.526	0.785	NA	"SCRIB, ZBTB45, B3GNT9, HGS, + 24 genes"
"IKZF2"	"IKZF2"	105	0.63	0.527	0.785	NA	"KIAA1549, FAHD2B, SPRY1, ADAMTS9, + 47 genes"
"ZNF682"	"ZNF682"	38	0.63	0.532	0.787	NA	"RTL5, ABCC6, ATG10, ARMH3, + 19 genes"
"ZFPM1"	"ZFPM1"	33	0.61	0.545	0.792	NA	"ZNF236-DT, LMF1, CHST12, RBM42, + 21 genes"
"FIZ1"	"FIZ1"	104	0.6	0.55	0.794	NA	"NPAT, PIGQ, AGFG1, PKIG, + 72 genes"
"CAMTA1"	"CAMTA1"	78	0.6	0.551	0.794	NA	"BOD1L1, MRPL27, TBC1D14, MRPL51, + 36 genes"
"ZNF746"	"ZNF746"	67	0.59	0.552	0.794	NA	"AGRN, ZDHHC6, CHODL, CETN3, + 33 genes"
"IRF3"	"IRF3"	237	0.59	0.553	0.794	NA	"CRYBG3, BBX, FHOD1, PHKG2, + 140 genes"
"ZNF792"	"ZNF792"	46	0.58	0.56	0.802	NA	"CBX2, MLF1, ZFYVE21, CFAP45, + 12 genes"
"USF2"	"USF2"	40	0.58	0.562	0.802	NA	"SDF4, RALY, STARD10, PPP1R35, + 24 genes"
"ZBTB7A"	"ZBTB7A"	138	0.57	0.565	0.802	NA	"FTCDNL1, ECE1, CD151, RARA, + 68 genes"
"SSRP1"	"SSRP1"	120	0.57	0.566	0.802	NA	"ODF2L, SRSF9, SUMF2, ABHD14B, + 48 genes"
"ZNF414"	"ZNF414"	51	0.57	0.567	0.802	NA	"ECI1, CDIPT, BAD, ASPSCR1, + 36 genes"
"ZNF687"	"ZNF687"	129	0.57	0.571	0.805	NA	"EFTUD2, NMT1, ELMO2, GBF1, + 47 genes"
"PPARD"	"PPARD"	66	0.56	0.572	0.805	NA	"G6PC3, CLPTM1, ABCC6, PIP5K1C, + 35 genes"
"CEBPA"	"CEBPA"	30	0.56	0.575	0.807	NA	"SGMS2, PLEKHA6, GPR160, ITGB8, + 6 genes"
"ZNF277"	"ZNF277"	129	0.55	0.583	0.81	NA	"ENOPH1, PRKAG1, TMEM117, CCDC43, + 123 genes"
"BHLHE41"	"BHLHE41"	154	0.54	0.591	0.816	NA	"NCK2, FAM43A, ECE1, MSN, + 31 genes"
"ZNF263"	"ZNF263"	61	0.52	0.605	0.825	NA	"MBNL1, SLC25A38, ATP6V0D1, MED22, + 11 genes"
"EPAS1"	"EPAS1"	77	0.52	0.606	0.825	NA	"GRB10, PLVAP, SEC14L1, PRKCH, + 29 genes"
"GLI4"	"GLI4"	215	0.51	0.607	0.825	NA	"SGMS2, GAMT, DUS1L, COQ4, + 139 genes"
"UBTF"	"UBTF"	72	0.51	0.608	0.826	NA	"IPO13, AGFG1, BBS7, NUP58, + 31 genes"
"HOPX"	"HOPX"	28	0.51	0.61	0.827	NA	"MLX, PLCE1, PRSS8, MAP1LC3B, + 9 genes"
"ZNF358"	"ZNF358"	54	0.5	0.616	0.831	NA	"ZNF524, RUVBL2, POLR2B, MRPL12, + 23 genes"
"ZNF114"	"ZNF114"	35	0.5	0.619	0.832	NA	"MAPKAPK3, RAB38, TMEM62, REEP1, + 9 genes"
"THAP4"	"THAP4"	101	0.5	0.619	0.832	NA	"COA3, CASP8AP2, FRYL, MCAT, + 52 genes"
"YBX3"	"YBX3"	138	0.49	0.623	0.833	NA	"VSTM2L, TAX1BP3, TENT5C, DVL1, + 64 genes"
"ZNF580"	"ZNF580"	74	0.49	0.624	0.834	NA	"PIK3CA, RASIP1, ATP11B, SRSF9, + 44 genes"
"TOX2"	"TOX2"	55	0.49	0.625	0.834	NA	"TOR1AIP1, ABCG1, MAPK12, C12orf29, + 23 genes"
"ZSCAN16"	"ZSCAN16"	85	0.49	0.628	0.836	NA	"MMS19, ZBTB21, ABCC6P2, MRPL14, + 36 genes"
"TFAP4"	"TFAP4"	49	0.48	0.63	0.837	NA	"AP1S3, EID2B, EXOSC5, TRIM65, + 11 genes"
"ZNF208"	"ZNF208"	28	0.47	0.636	0.842	NA	"TMEM41A, CHST10, RGL3, EPB41L4A-DT, + 11 genes"
"ZNF16"	"ZNF16"	128	0.47	0.638	0.842	NA	"CEP85L, BST1, PEX6, CMIP, + 45 genes"
"ZBTB22"	"ZBTB22"	36	0.46	0.643	0.842	NA	"SLC38A10, STK17B, SPINT2, IRF2BP1, + 15 genes"
"ZHX2"	"ZHX2"	92	0.46	0.645	0.844	NA	"RNF24, IRAK2, SLC12A2, DOCK9-DT, + 25 genes"
"TBX3"	"TBX3"	49	0.45	0.653	0.847	NA	"TDP1, RGS2, CFLAR, LMCD1, + 16 genes"
"ZNF709"	"ZNF709"	51	0.44	0.658	0.847	NA	"RECQL, AGFG1, TMEM225B, ABHD14A, + 18 genes"
"ZNF394"	"ZNF394"	110	0.44	0.66	0.847	NA	"CRYBG3, CTBP1, PSMC5, POLR2I, + 66 genes"
"ZBED1"	"ZBED1"	76	0.42	0.671	0.854	NA	"NLRX1, HSP90AA1, COL4A2, IFT57, + 41 genes"
"PCBP1"	"PCBP1"	99	0.42	0.675	0.855	NA	"M6PR, CERS2, E4F1, DAZAP2, + 24 genes"
"ZNF362"	"ZNF362"	118	0.41	0.681	0.856	NA	"MAL2, PCGF2, GIPC3, INSR, + 67 genes"
"CSRNP3"	"CSRNP3"	36	0.41	0.683	0.856	NA	"VAV3, SEMA3B, UCHL1, HFE, + 17 genes"
"ZNF513"	"ZNF513"	113	0.4	0.686	0.856	NA	"USP1, NUDT21, NDC1, BLOC1S5, + 60 genes"
"PSPC1"	"PSPC1"	56	0.39	0.697	0.864	NA	"RAB34, IBA57, ST3GAL5, ENOPH1, + 5 genes"
"SOX4"	"SOX4"	91	0.39	0.697	0.864	NA	"TENM4, RAPGEF5, SHROOM4, PTCHD4, + 25 genes"
